Nome_escola,Cod_inep,Municipio_polo,Cod_ibge,Enderenco_polo,Bairro_polo,long,lat,Gee,Tipo_ensino
ESCOLA ESTADUAL MOREIRA E SILVA,27036782,Maceió,2704302,AVENIDA FERNANDES LIMA,FAROL,-35.73896611,-9.641450923,13ª,Escola em tempo integral
ESCOLA ESTADUAL MUNIZ FALCAO,27012115,Cacimbinhas,2701209,AVENIDA CORONEL CLARINDO AMORIM,CENTRO,-36.98806836,-9.40123455,3ª,Escola de Ensino Regular
ESCOLA ESTADUAL N SRA DA CONCEICAO,27018016,Craíbas,2702355,RUA TERCILIA MAURICIO DA ROCHA,CENTRO,-36.762975,-9.611831538,5ª,Escola de Ensino Regular
ESCOLA ESTADUAL N SRA DA CONCEICAO,27019608,Lagoa da Canoa,2704104,RUA LUIZ EVANGELISTA,VILA STA IZABEL,-36.762975,-9.611831538,5ª,Escola de Ensino Regular
ESCOLA ESTADUAL NOEL NUTELS,27036790,Maceió,2704302,RUA JARBAS DE ANDRADE CABRAL,JACINTINHO,-35.71170956,-9.636917664,1ª,Escola de Ensino Regular
ESCOLA ESTADUAL NOSSA SENHORA DA APRESENTACAO,27031063,Porto Calvo,2707305,RUA DO VARADOURO,CENTRO,-35.392346,-9.060017,10ª,Escola em tempo integral
ESCOLA ESTADUAL NOSSA SRa DO BOM CONSELHO,27034917,Maceió,2704302,LADEIRA PROFESSOR BENEDITO SILVA,CHA DE BEBEDOURO,-35.75112991,-9.628347444,13ª,Escola em tempo integral
ESCOLA ESTADUAL ODETE BONFIM,27013405,Maribondo,2704807,RUA ESTUDANTE ERICO MENTASTI,CENTRO,-36.30730509,-9.577497669,3ª,Escola em tempo integral
ESCOLA ESTADUAL OLIMPIA TENORIO LIMA,27018962,Girau do Ponciano,2702900,PRACA PRESIDENTE KENNEDY,CENTRO,-36.83057295,-9.883483145,5ª,Escola de Ensino Regular
ESCOLA ESTADUAL OLIVEIRA E SILVA,27039960,Pilar,2706901,PRACA ANA GENILDA COSTA BARROS,CENTRO,-35.952812,-9.608035,12ª,Escola em tempo integral
ESCOLA ESTADUAL ONELIA CAMPELO,27035786,Maceió,2704302,RUA SANTA TEREZINHA,SANTOS DUMONT,-35.78509188,-9.558479018,13ª,Escola de Ensino Regular
ESCOLA ESTADUAL ORMINDO BARROS,27007960,Santana do Ipanema,2708006,RUA SIQUEIRA CAMPOS,CAMOXINGA,-37.24758616,-9.370141284,6ª,Escola de Ensino Regular
